"Dolphin.ID","Observation.Date","birthdate","pregID","pregnant","lactID","lactating","cycID","cycling","age","mature","possiblycyc"
"ABA",2012-10-29,2010-11-01,"0",0,"0",0,"0",0,1.99315537303217,"no",0
"ABA",2013-10-03,2010-11-01,"0",0,"0",0,"0",0,2.92128678986995,"no",0
"ABA",2013-11-10,2010-11-01,"0",0,"0",0,"0",0,3.02532511978097,"no",0
"ABA",2013-11-15,2010-11-01,"0",0,"0",0,"0",0,3.03901437371663,"no",0
"ABA",2015-09-09,2010-11-01,"0",0,"0",0,"0",0,4.85420944558522,"no",0
"ABA",2015-09-17,2010-11-01,"0",0,"0",0,"0",0,4.87611225188227,"no",0
"ABA",2019-06-25,2010-11-01,"0",0,"0",0,"0",0,8.64613278576318,"no",0
"ABA",2022-06-22,2010-11-01,"0",0,"0",0,"0",0,11.6386036960986,"yes",1
"ABA",2023-05-05,2010-11-01,"0",0,"0",0,"0",0,12.5065023956194,"yes",1
"ABA",2023-10-07,2010-11-01,"0",0,"0",0,"0",0,12.9308692676249,"yes",1
"ADR",1999-09-12,1988-11-01,"0",0,"0",0,"0",0,10.861054072553,"no",0
"ADR",2002-06-26,1988-11-01,"0",0,"0",0,"0",0,13.6481861738535,"yes",1
"ADR",2003-07-26,1988-11-01,"0",0,"0",0,"0",0,14.7296372347707,"yes",1
"ADR",2012-10-29,1988-11-01,"0",0,"0",0,"0",0,23.9917864476386,"yes",1
"ADR",2014-07-01,1988-11-01,"0",0,"0",0,"0",0,25.6618754277892,"yes",1
"ALG",1988-05-10,1969-11-01,"0",0,"0",0,"0",0,18.5215605749487,"yes",1
"ALG",1988-05-14,1969-11-01,"0",0,"0",0,"0",0,18.5325119780972,"yes",1
"ALG",1988-05-16,1969-11-01,"0",0,"0",0,"0",0,18.5379876796715,"yes",1
"ALG",1988-07-10,1969-11-01,"0",0,"0",0,"PER",1,18.6885694729637,"yes",1
"ALG",1988-08-22,1969-11-01,"0",0,"0",0,"PER",1,18.8062970568104,"yes",1
"ALG",1988-12-07,1969-11-01,"PER",1,"0",0,"0",0,19.0992470910335,"yes",0
"ALG",1989-05-31,1969-11-01,"PER",1,"0",0,"0",0,19.5783709787817,"yes",0
"ALG",1989-06-16,1969-11-01,"PER",1,"0",0,"0",0,19.6221765913758,"yes",0
"ALG",1989-06-17,1969-11-01,"PER",1,"0",0,"0",0,19.6249144421629,"yes",0
"ALG",1989-07-13,1969-11-01,"PER",1,"0",0,"0",0,19.6960985626283,"yes",0
"ALG",1990-03-28,1969-11-01,"0",0,"PER",1,"0",0,20.4024640657084,"yes",0
"ALG",1990-03-29,1969-11-01,"0",0,"PER",1,"0",0,20.4052019164955,"yes",0
"ALG",1990-04-18,1969-11-01,"0",0,"PER",1,"0",0,20.4599589322382,"yes",0
"ALG",1990-06-01,1969-11-01,"0",0,"PER",1,"OYS",1,20.580424366872,"yes",0
"ALG",1990-08-16,1969-11-01,"0",0,"PER",1,"OYS",1,20.788501026694,"yes",0
"ALG",1990-09-16,1969-11-01,"0",0,"0",0,"OYS",1,20.8733744010951,"yes",1
"ALG",1990-09-28,1969-11-01,"0",0,"0",0,"OYS",1,20.9062286105407,"yes",1
"ALG",1990-10-11,1969-11-01,"0",0,"0",0,"OYS",1,20.9418206707734,"yes",1
"ALG",1990-10-15,1969-11-01,"0",0,"0",0,"OYS",1,20.952772073922,"yes",1
"ALG",1990-10-21,1969-11-01,"0",0,"0",0,"OYS",1,20.9691991786448,"yes",1
"ALG",1990-10-22,1969-11-01,"0",0,"0",0,"OYS",1,20.9719370294319,"yes",1
"ALG",1990-10-24,1969-11-01,"0",0,"0",0,"OYS",1,20.9774127310062,"yes",1
"ALG",1990-11-25,1969-11-01,"OYS",1,"0",0,"0",0,21.0650239561944,"yes",0
"ALG",1990-11-26,1969-11-01,"OYS",1,"0",0,"0",0,21.0677618069815,"yes",0
"ALG",1990-12-12,1969-11-01,"OYS",1,"0",0,"0",0,21.1115674195756,"yes",0
"ALG",1991-03-13,1969-11-01,"OYS",1,"0",0,"0",0,21.3607118412047,"yes",0
"ALG",1991-04-27,1969-11-01,"OYS",1,"0",0,"0",0,21.4839151266256,"yes",0
"ALG",1991-05-15,1969-11-01,"OYS",1,"0",0,"0",0,21.533196440794,"yes",0
"ALG",1991-05-16,1969-11-01,"OYS",1,"0",0,"0",0,21.5359342915811,"yes",0
"ALG",1991-08-25,1969-11-01,"OYS",1,"0",0,"0",0,21.8124572210815,"yes",0
"ALG",1991-08-26,1969-11-01,"OYS",1,"0",0,"0",0,21.8151950718686,"yes",0
"ALG",1991-09-10,1969-11-01,"OYS",1,"0",0,"0",0,21.8562628336756,"yes",0
"ALG",1991-09-11,1969-11-01,"OYS",1,"0",0,"0",0,21.8590006844627,"yes",0
"ALG",1991-09-19,1969-11-01,"OYS",1,"0",0,"0",0,21.8809034907598,"yes",0
"ALG",1991-09-20,1969-11-01,"OYS",1,"0",0,"0",0,21.8836413415469,"yes",0
"ALG",1991-09-28,1969-11-01,"OYS",1,"0",0,"0",0,21.9055441478439,"yes",0
"ALG",1991-11-03,1969-11-01,"0",0,"OYS",1,"0",0,22.0041067761807,"yes",0
"ALG",1991-11-04,1969-11-01,"0",0,"OYS",1,"0",0,22.0068446269678,"yes",0
"ALG",1991-11-17,1969-11-01,"0",0,"OYS",1,"0",0,22.0424366872005,"yes",0
"ALG",1992-10-20,1969-11-01,"0",0,"OYS",1,"0",0,22.9678302532512,"yes",0
"ALG",1992-10-31,1969-11-01,"0",0,"OYS",1,"0",0,22.9979466119097,"yes",0
"ALG",1992-11-03,1969-11-01,"0",0,"OYS",1,"0",0,23.006160164271,"yes",0
"ALG",1993-01-05,1969-11-01,"0",0,"OYS",1,"0",0,23.1786447638604,"yes",0
"ALG",1993-01-29,1969-11-01,"0",0,"OYS",1,"0",0,23.2443531827515,"yes",0
"ALG",1993-03-20,1969-11-01,"0",0,"OYS",1,"0",0,23.3812457221081,"yes",0
"ALG",1993-08-07,1969-11-01,"0",0,"OYS",1,"0",0,23.7645448323066,"yes",0
"ALG",1994-05-12,1969-11-01,"0",0,"0",0,"0",0,24.5256673511294,"yes",1
"ALG",1994-08-03,1969-11-01,"0",0,"0",0,"0",0,24.7529089664613,"yes",1
"ALG",1994-09-15,1969-11-01,"0",0,"0",0,"0",0,24.870636550308,"yes",1
"ALG",1995-08-11,1969-11-01,"0",0,"0",0,"0",0,25.7741273100616,"yes",1
"ALG",1995-08-15,1969-11-01,"0",0,"0",0,"0",0,25.7850787132101,"yes",1
"ALG",1995-08-23,1969-11-01,"0",0,"0",0,"0",0,25.8069815195072,"yes",1
"ALG",1995-09-24,1969-11-01,"0",0,"0",0,"0",0,25.8945927446954,"yes",1
"ALG",1996-07-07,1969-11-01,"0",0,"0",0,"AGA",1,26.6803559206023,"yes",1
"ALG",1996-07-12,1969-11-01,"0",0,"0",0,"AGA",1,26.694045174538,"yes",1
"ALG",1996-07-19,1969-11-01,"0",0,"0",0,"AGA",1,26.7132101300479,"yes",1
"ALG",1996-07-21,1969-11-01,"0",0,"0",0,"AGA",1,26.7186858316222,"yes",1
"ALG",1996-07-28,1969-11-01,"0",0,"0",0,"AGA",1,26.7378507871321,"yes",1
"ALG",1996-08-01,1969-11-01,"0",0,"0",0,"AGA",1,26.7488021902806,"yes",1
"ALG",1996-08-03,1969-11-01,"0",0,"0",0,"AGA",1,26.7542778918549,"yes",1
"ALG",1996-08-04,1969-11-01,"0",0,"0",0,"AGA",1,26.757015742642,"yes",1
"ALG",1996-08-20,1969-11-01,"0",0,"0",0,"AGA",1,26.8008213552361,"yes",1
"ALG",1996-09-03,1969-11-01,"0",0,"0",0,"AGA",1,26.839151266256,"yes",1
"ALG",1996-09-13,1969-11-01,"0",0,"0",0,"AGA",1,26.8665297741273,"yes",1
"ALG",1996-09-17,1969-11-01,"AGA",1,"0",0,"0",0,26.8774811772758,"yes",0
"ALG",1996-09-18,1969-11-01,"AGA",1,"0",0,"0",0,26.880219028063,"yes",0
"ALG",1996-09-20,1969-11-01,"AGA",1,"0",0,"0",0,26.8856947296372,"yes",0
"ALG",1996-10-01,1969-11-01,"AGA",1,"0",0,"0",0,26.9158110882957,"yes",0
"ALG",1996-10-07,1969-11-01,"AGA",1,"0",0,"0",0,26.9322381930185,"yes",0
"ALG",1996-12-17,1969-11-01,"AGA",1,"0",0,"0",0,27.1266255989049,"yes",0
"ALG",1997-04-04,1969-11-01,"AGA",1,"0",0,"0",0,27.4223134839151,"yes",0
"ALG",1997-04-08,1969-11-01,"AGA",1,"0",0,"0",0,27.4332648870637,"yes",0
"ALG",1997-04-26,1969-11-01,"AGA",1,"0",0,"0",0,27.482546201232,"yes",0
"ALG",1997-05-13,1969-11-01,"AGA",1,"0",0,"0",0,27.5290896646133,"yes",0
"ALG",1997-05-20,1969-11-01,"AGA",1,"0",0,"0",0,27.5482546201232,"yes",0
"ALG",1997-07-01,1969-11-01,"AGA",1,"0",0,"0",0,27.6632443531828,"yes",0
"ALG",1997-07-04,1969-11-01,"AGA",1,"0",0,"0",0,27.6714579055441,"yes",0
"ALG",1997-07-06,1969-11-01,"AGA",1,"0",0,"0",0,27.6769336071184,"yes",0
"ALG",1997-07-07,1969-11-01,"AGA",1,"0",0,"0",0,27.6796714579055,"yes",0
"ALG",1997-07-12,1969-11-01,"AGA",1,"0",0,"0",0,27.6933607118412,"yes",0
"ALG",1997-07-13,1969-11-01,"AGA",1,"0",0,"0",0,27.6960985626283,"yes",0
"ALG",1997-07-19,1969-11-01,"AGA",1,"0",0,"0",0,27.7125256673511,"yes",0
"ALG",1997-07-23,1969-11-01,"AGA",1,"0",0,"0",0,27.7234770704997,"yes",0
"ALG",1997-07-26,1969-11-01,"AGA",1,"0",0,"0",0,27.7316906228611,"yes",0
"ALG",1997-07-27,1969-11-01,"AGA",1,"0",0,"0",0,27.7344284736482,"yes",0
"ALG",1997-07-30,1969-11-01,"AGA",1,"0",0,"0",0,27.7426420260096,"yes",0
"ALG",1997-08-13,1969-11-01,"AGA",1,"0",0,"0",0,27.7809719370294,"yes",0
"ALG",1997-10-01,1969-11-01,"0",0,"AGA",1,"0",0,27.9151266255989,"yes",0
